SolCAP.T.number	Market.Class	PC1	PC2	PC3
1	SCT_0001	Processing	-15.7615549141319	15.6704389384363	9.54372476539207
2	SCT_0002	Processing	-26.8341835093777	7.68205906615965	3.95781220111801
3	SCT_0003	Processing	-10.6550595426445	17.9935910764225	-16.6279992207194
4	SCT_0004	Processing	-9.66140949588087	14.9977362384578	-19.9284805273472
5	SCT_0005	Processing	-16.3397998055833	-8.76799196080567	27.064635291924
6	SCT_0006	Processing	-1.53286320557525	-2.2316368846437	16.9861783112799
7	SCT_0007	Processing	-15.6699980600291	-11.2832529254881	21.7517172236928
8	SCT_0008	Processing	-7.77891824778253	-21.725857406959	17.6850908039005
9	SCT_0009	Processing	-14.3675919056416	-11.5106423683191	19.4865845390224
10	SCT_0010	Processing	-5.34781330518487	-21.2996840505772	14.8175553207121
11	SCT_0011	Processing	-6.97252067109463	-9.3573217498775	16.8237816848188
12	SCT_0012	Processing	-14.605210155045	-19.0692706670271	21.0131255843109
13	SCT_0013	Processing	-12.9849953370576	-6.83157230207085	16.88686222667
14	SCT_0014	Processing	-11.973828934329	-5.13600164509285	21.6585178576938
15	SCT_0015	Processing	-12.6221233051646	-13.8147656262613	19.0916072659991
16	SCT_0016	Processing	-17.5306952697602	-13.7342925923071	23.596471253994
17	SCT_0017	Processing	-11.7206136369718	-8.91297070343502	19.7010966001807
18	SCT_0018	Processing	1.17275234334101	-2.46386438810738	2.39039095799089
19	SCT_0019	Processing	-25.9686995818525	7.886655088191	-2.86970403009548
20	SCT_0020	Processing	-7.67088912913676	16.9680713616928	8.55621965831699
21	SCT_0021	Processing	-11.4994077901406	13.0130702469253	9.52685753784468
22	SCT_0022	Processing	-25.5466458035333	5.65758249398921	8.16091953339192
23	SCT_0023	Processing	-14.6387183338037	15.8648439723689	2.41109702462819
24	SCT_0024	Processing	-25.9406824237003	-4.33188259168498	-1.19191923510425
25	SCT_0025	Processing	-21.6369035438272	-5.09832293911468	-9.22544309198796
26	SCT_0026	Processing	-15.0191208130685	3.28345304399226	-23.306303927131
27	SCT_0027	Processing	-16.8548230928192	6.29378607309099	5.87115380732749
28	SCT_0028	Processing	-21.0269667275962	7.71808116832786	-6.15898149029773
29	SCT_0029	Processing	-16.8469236517444	-3.38156597384022	15.8494741823871
30	SCT_0030	Processing	18.2337099383345	12.2909905667316	4.55011522104698
31	SCT_0031	Processing	3.40081433326112	12.834140312581	15.5591573129617
32	SCT_0032	Processing	-24.347473888459	2.77051482654137	5.72468584080355
33	SCT_0033	Processing	-24.9836127757762	6.85180795071654	-2.24750510712903
34	SCT_0034	Processing	-26.9077294787415	7.01882206342046	11.4598244072592
35	SCT_0035	Processing	-28.4877060941245	7.3872383028154	5.51912223261176
36	SCT_0036	Processing	-15.9014308494932	18.8096997350364	-4.86243152601808
37	SCT_0037	Processing	-28.6304701332928	11.9142842474736	-11.5146636108531
38	SCT_0038	Processing	-15.0313073393969	20.0449368495374	-26.8255484718528
39	SCT_0039	Processing	-24.3744111186449	5.70884420755207	11.4401409713978
40	SCT_0040	Processing	-22.7050652333225	5.74003904094184	-11.0376563559875
41	SCT_0041	Processing	-19.5848362916271	20.536288054036	-19.8987928413134
42	SCT_0042	Processing	-15.4972907064108	20.8836920543187	-29.4004249654317
43	SCT_0043	Processing	-11.3752792851166	18.6468213961518	-19.7106270700366
44	SCT_0044	Processing	-25.741018318969	7.39721863951564	11.1782025183938
45	SCT_0045	Processing	-28.4186520584569	6.99668699182278	-0.653314169267999
46	SCT_0046	Processing	-26.6087572819603	7.01303612620976	11.537473853574
47	SCT_0047	Processing	-16.7348087805889	19.3871660425048	-2.29670583374005
48	SCT_0048	Processing	-27.6068429179442	6.47898805304452	7.16048956507795
49	SCT_0049	Processing	-25.8990067678904	6.27276605450905	12.3399419329933
50	SCT_0050	Processing	-27.0546128934762	8.30331550771763	9.84279458730293
51	SCT_0051	Processing	-25.6863226282467	6.12098981704539	13.128610156143
52	SCT_0052	Processing	-18.1066982882236	20.9567948802578	-15.1757303399792
53	SCT_0053	Processing	-15.7434781948458	19.54589170998	2.63934513428233
54	SCT_0054	Processing	-28.6258182742322	8.33096068013472	8.30071752333139
55	SCT_0055	Processing	-27.6662865154281	6.20188921004834	-1.28207903596502
56	SCT_0056	Processing	-26.364381218984	6.62020636287817	11.595725352233
57	SCT_0057	Processing	-19.2521952331957	4.15334640438044	5.78231689209375
58	SCT_0058	Processing	-15.2355658164316	19.6548074832923	-28.3595155215157
59	SCT_0059	Processing	-25.5705528795862	6.56582320733181	13.5215246490218
60	SCT_0060	Processing	-26.5788990527676	7.80937353184623	10.1092289618307
61	SCT_0061	Processing	-26.22314837653	8.08345098007547	9.81554330400301
62	SCT_0062	Processing	-25.5327087186315	7.07591877512908	12.3131653166492
63	SCT_0063	Processing	-26.8244709938556	5.65546606261037	10.5851515792834
64	SCT_0064	Processing	-25.6430885253651	5.15539436217979	12.8828284922037
65	SCT_0065	Processing	-26.431543914967	6.93836618270265	11.1781022075077
66	SCT_0066	Processing	-25.2852917786229	7.72748863933588	-14.4152917679054
67	SCT_0067	Processing	-25.4832421147828	6.82339586584092	10.8046236787242
68	SCT_0068	Processing	-12.5415269977817	17.855179505322	-20.9063837837476
69	SCT_0069	Processing	-14.3383123007579	18.5658118954171	-18.0112030132988
70	SCT_0070	Processing	-26.9389188506632	8.3403527750607	10.6484078910451
71	SCT_0071	Processing	-15.3167372602239	20.4669897250483	-29.2937084488302
72	SCT_0072	Processing	-21.0781262806838	6.17182543549844	-0.841621040449297
73	SCT_0075	Processing	-22.3213520695747	12.9249369963086	-4.08391492037298
74	SCT_0076	Processing	-19.4051526652235	13.6906089083283	-21.4923421863808
75	SCT_0077	Processing	-28.6250877539192	7.15185190738142	-1.84529047018008
76	SCT_0078	Processing	-26.6303255512477	7.97704718033542	12.0701287490586
77	SCT_0079	Processing	-28.1614130195245	5.71378613645207	1.38210453859584
78	SCT_0080	Processing	-27.288897108986	8.1702165678027	11.0926470047909
79	SCT_0081	Processing	-14.6107756342551	19.4019801519892	-28.7147248388362
80	SCT_0082	Processing	-25.6806516581677	6.69219876266249	9.95513255845617
81	SCT_0083	Processing	-22.8114551041505	4.91747190971213	11.1178050768716
82	SCT_0084	Processing	-26.142153131557	6.56166176492168	12.2919963405703
83	SCT_0085	Processing	-24.3471607210177	1.04939935146251	21.007839443367
84	SCT_0086	Processing	-21.531732239265	-1.77811464371451	23.7949504436215
85	SCT_0087	Processing	-18.4179973947768	6.03246051267158	12.0042507072652
86	SCT_0088	Processing	-19.5099276719105	9.70460859700511	15.283265500839
87	SCT_0089	Processing	-13.093086057712	5.71113414255859	5.57637474868945
88	SCT_0090	Processing	-15.2764802624949	7.50772806353892	1.1720849464969
89	SCT_0091	Processing	-7.31750026626423	13.4545244926026	15.2040682803203
90	SCT_0092	Processing	-3.44174344879428	16.1311798054394	-31.8079352981425
91	SCT_0093	Processing	-3.29620685606818	16.3023216261597	-31.7701225383769
92	SCT_0094	Processing	-12.6650572865266	16.3823656542005	-16.1439359158263
93	SCT_0095	Processing	-11.4952733636109	-0.0900310421662888	-18.0134791137921
94	SCT_0096	Processing	7.02803380948375	7.07842339543279	1.11634894530567
95	SCT_0097	Processing	-11.8981823627789	5.87341030299165	2.32401919477095
96	SCT_0098	Processing	-20.7626627787559	-1.4102076533541	10.7689652707092
97	SCT_0099	Processing	-14.5339002831637	18.7613023337476	-8.47695011762372
98	SCT_0100	Processing	-16.6723808891978	18.5238558279	4.21604749777026
99	SCT_0101	Processing	-7.15428770420189	12.0545134136061	-11.3099989527674
100	SCT_0102	Processing	-24.2799465740415	-6.99195755463703	-12.6890155839736
101	SCT_0103	Processing	-26.6861966852556	-6.68565509397667	-3.11207824324344
102	SCT_0104	Processing	-14.5643056805383	-0.613710512395989	12.8381576875791
103	SCT_0105	Processing	-22.7808854991093	-6.67587698583086	12.1643157840606
104	SCT_0106	Processing	-23.9933536435272	3.59657312206743	12.6954071784586
105	SCT_0107	Processing	-8.01504551085382	17.9166016902886	-26.005270711055
106	SCT_0108	Processing	-14.3353929297669	20.6907445580861	-29.2599392450623
107	SCT_0109	Processing	-18.7087400388036	17.5402404644323	2.45249214184456
108	SCT_0110	Processing	-12.2942836439864	19.5530847764187	-19.6325822477434
109	SCT_0111	Processing	-15.0181422656342	20.0492067167856	-25.8100860422866
110	SCT_0112	Processing	-1.71552473331695	13.9320969920566	-26.8483939002294
111	SCT_0113	Processing	-22.171856822672	4.72691175436442	-4.02713417480981
112	SCT_0114	Processing	-10.6949901907735	17.3786319147084	-26.1007209465717
113	SCT_0115	Processing	-24.46838725374	6.6610009236317	-2.11736645739442
114	SCT_0116	Processing	-26.4138829124864	6.67823666382576	12.518298108174
115	SCT_0117	Processing	-23.7657780476595	4.7813780219159	5.89618781857366
116	SCT_0118	Processing	-0.0288125837648021	16.2901496949232	0.0771465305050412
117	SCT_0119	Processing	-10.2682633354391	18.9565353101712	-30.9847629970739
118	SCT_0120	Processing	-10.1763795256131	18.9894030870144	-30.4620917825603
119	SCT_0121	Processing	-18.9796433978114	-7.12740937024158	-20.473956941249
120	SCT_0122	Processing	-14.1498508387461	13.9780386450757	10.5571703893773
121	SCT_0123	Processing	-14.4970932330021	14.1686726877078	10.9915371459109
122	SCT_0124	Processing	-3.70162467303201	14.4265395959341	-25.9331928384749
123	SCT_0125	Processing	-14.7055603823613	19.9161814137492	-30.3258620999093
124	SCT_0126	Processing	-23.3513059866409	-0.219878865731054	18.2931269887552
125	SCT_0127	Processing	-22.1660111097325	-3.02990087811939	20.6557425729767
126	SCT_0128	Processing	-19.1675614987181	1.25248729102504	6.50822617459278
127	SCT_0129	Processing	-8.44764672138157	12.1415047932826	4.58832046166083
128	SCT_0130	Processing	-13.9878781251377	13.8228865704354	12.5142767432769
129	SCT_0131	Processing	6.49967727435069	15.4110243977862	2.38800177492588
130	SCT_0132	Processing	23.5947240920047	5.91497593632512	-1.09297900800234
131	SCT_0133	Processing	-23.6747599305933	-1.93805892275436	7.16786890320636
132	SCT_0134	Processing	-6.1474512559639	18.2671675054151	-2.50982022892353
133	SCT_0135	Processing	3.08624238614183	9.71471966832894	-3.91448223841284
134	SCT_0136	Processing	3.06726347607541	12.8503272990039	-8.72295144381685
135	SCT_0137	Processing	-5.1219586142864	15.3401987511656	-6.39354246185131
136	SCT_0138	Processing	5.790805191319	15.9564535645173	2.24065444836248
137	SCT_0139	Processing	-24.4307217891905	-2.21809259099659	5.83965860989071
138	SCT_0140	Processing	-21.699636292825	-3.65233798209854	7.95005631971018
139	SCT_0141	Processing	-24.3453639776515	-0.461147876766433	3.29671937461589
140	SCT_0142	Processing	-24.2531662638386	2.49402984434241	7.94301389767364
141	SCT_0143	Fresh market	15.7005818121882	5.88627297462041	-4.60218498117584
142	SCT_0144	Fresh market	16.4677640982459	7.28377881503054	-5.6172562453186
143	SCT_0150	Fresh market	-1.50316519070788	-29.5419453544653	-8.79906615625025
144	SCT_0157	Fresh market	6.98133797972959	-26.2891527636552	-3.75617291553999
145	SCT_0158	Fresh market	8.86157202670441	-13.5629399860486	-4.9424547909985
146	SCT_0159	Fresh market	4.1280534675288	-25.4023685388208	-2.7048923486958
147	SCT_0160	Fresh market	2.77311788602386	-25.3683114477864	-2.90164308989759
148	SCT_0161	Fresh market	2.53750185489933	-14.2789235883741	-4.95608728107566
149	SCT_0162	Fresh market	11.8948544882156	-0.564931887542639	-4.41319225887046
150	SCT_0164	Fresh market	12.1799584821824	3.04286568453301	-13.6577519614735
151	SCT_0165	Fresh market	12.5650195119165	1.85424532700048	-10.4603018880358
152	SCT_0172	Fresh market	8.39198034373037	-6.27359598039229	8.35544529187004
