Table S3. Sub-groups within the processing and fresh market germplasm based on PC1 and PC2 of PCA						
SolCAP T-number	Genotype	Market Class	Sub-group	PCA		
				PC1	PC2	
SCT_0002	2K1-2019	Processing	Proc 1	-26.89917005	7.785951522	
SCT_0005	CULBPT04-1 	Processing	Proc 1	-16.4000081	-8.7302509	
SCT_0007	CULBPT04-3 	Processing	Proc 1	-15.6733553	-11.25886012	
SCT_0009	CULBPT04-5	Processing	Proc 1	-14.46572897	-11.51760417	
SCT_0011	CULBPT-05-11	Processing	Proc 1	-7.037968967	-9.328234303	
SCT_0012	CULBPT-05-15	Processing	Proc 1	-14.77260659	-19.08643462	
SCT_0013	CULBPT-05-18	Processing	Proc 1	-13.04386674	-6.949860034	
SCT_0014	CULBPT-05-20	Processing	Proc 1	-12.05653273	-5.216407604	
SCT_0015	CULBPT-05-21	Processing	Proc 1	-12.72946725	-13.92121739	
SCT_0016	CULBPT-05-22	Processing	Proc 1	-17.3301773	-13.73866308	
SCT_0017	CULBPT-05-9	Processing	Proc 1	-11.83632102	-9.117128669	
SCT_0019	E3259	Processing	Proc 1	-26.10441404	7.984818026	
SCT_0022	F03-6331	Processing	Proc 1	-25.55756848	5.66407347	
SCT_0024	F06-1013-1	Processing	Proc 1	-26.63720503	-4.361203024	
SCT_0025	F06-1014-1	Processing	Proc 1	-21.79064654	-5.152341977	
SCT_0026	F06-2041	Processing	Proc 1	-15.18853649	3.319601587	
SCT_0027	F06-2054	Processing	Proc 1	-16.96291594	6.402700298	
SCT_0028	F06-2058	Processing	Proc 1	-21.06864214	7.756875555	
SCT_0029	FG02-188	Processing	Proc 1	-16.95685964	-3.273785752	
SCT_0032	M82	Processing	Proc 1	-24.345669	2.806857764	
SCT_0033	OH03-6439	Processing	Proc 1	-25.05996528	6.906482724	
SCT_0034	OH05-8018	Processing	Proc 1	-26.96482231	7.156798596	
SCT_0035	OH05-8022	Processing	Proc 1	-28.57103519	7.478522164	
SCT_0037	OH05-8027	Processing	Proc 1	-31.00843509	8.929636419	
SCT_0039	OH05-8030	Processing	Proc 1	-24.43888224	5.847676272	
SCT_0040	OH05-8036	Processing	Proc 1	-22.82335614	5.767657331	
SCT_0044	OH05-8048	Processing	Proc 1	-25.79170138	7.542276166	
SCT_0045	OH05-8053	Processing	Proc 1	-28.55267785	7.104925357	
SCT_0046	OH05-8059	Processing	Proc 1	-26.6668563	7.153512086	
SCT_0048	OH05-8064	Processing	Proc 1	-27.66253401	6.616325356	
SCT_0049	OH05-8068	Processing	Proc 1	-25.9548241	6.422591549	
SCT_0050	OH05-8069	Processing	Proc 1	-27.0994801	8.438410446	
SCT_0051	OH05-8070	Processing	Proc 1	-25.74276751	6.273430256	
SCT_0054	OH05-8078	Processing	Proc 1	-28.70025609	8.423161754	
SCT_0055	OH05-8079	Processing	Proc 1	-27.79709653	6.308815552	
SCT_0056	OH05-8087	Processing	Proc 1	-26.41889655	6.76010013	
SCT_0057	OH05-8090	Processing	Proc 1	-19.33386756	4.286126968	
SCT_0059	OH05-8104	Processing	Proc 1	-25.62385581	6.713441783	
SCT_0060	OH05-8109	Processing	Proc 1	-26.63440452	7.93894942	
SCT_0061	OH05-8117	Processing	Proc 1	-26.27444183	8.208350773	
SCT_0062	OH05-8124	Processing	Proc 1	-25.57978457	7.222742337	
SCT_0063	OH05-8139	Processing	Proc 1	-26.87637106	5.78761335	
SCT_0064	OH05-8142	Processing	Proc 1	-25.70359162	5.294048523	
SCT_0065	OH05-8144	Processing	Proc 1	-26.42689417	7.031894485	
SCT_0066	OH05-8151	Processing	Proc 1	-25.47345848	7.751096466	
SCT_0067	OH05-8162	Processing	Proc 1	-25.55404326	6.969114871	
SCT_0070	OH05-8171	Processing	Proc 1	-27.00342859	8.461027854	
SCT_0072	OH05-8179	Processing	Proc 1	-21.17094188	6.278472354	
SCT_0077	OH05-8187	Processing	Proc 1	-28.76564487	7.249418104	
SCT_0078	OH05-8188	Processing	Proc 1	-26.6779805	8.115363983	
SCT_0079	OH05-8192	Processing	Proc 1	-28.28332082	5.832654405	
SCT_0080	OH05-8193	Processing	Proc 1	-27.34537915	8.299547182	
SCT_0082	OH05-8206	Processing	Proc 1	-25.74315725	6.820438304	
SCT_0083	OH05-8210	Processing	Proc 1	-22.73023922	5.024420806	
SCT_0084	OH05-8214	Processing	Proc 1	-26.1836698	6.691528368	
SCT_0085	OH08-5201	Processing	Proc 1	-24.40985831	1.14332777	
SCT_0086	OH08-5202	Processing	Proc 1	-21.57105993	-1.703864117	
SCT_0087	OH08-5203	Processing	Proc 1	-18.49615171	6.028120206	
SCT_0088	OH08-5204	Processing	Proc 1	-19.50037404	9.719543013	
SCT_0089	OH08-5205	Processing	Proc 1	-13.1902923	5.643459307	
SCT_0090	OH08-5206	Processing	Proc 1	-16.85067076	5.530713876	
SCT_0095	OH08-5215	Processing	Proc 1	-11.65872592	-0.196149683	
SCT_0097	OH08-7438	Processing	Proc 1	-12.71902408	4.554664662	
SCT_0098	OH08-7439	Processing	Proc 1	-20.68418107	-1.417761614	
SCT_0102	OH08-7459	Processing	Proc 1	-24.57460758	-7.295549373	
SCT_0103	OH08-7460	Processing	Proc 1	-27.20408154	-6.628871419	
SCT_0104	OH08-7466	Processing	Proc 1	-14.48227295	-0.59659701	
SCT_0105	OH08-7469	Processing	Proc 1	-22.73380281	-6.814265632	
SCT_0106	OH08-7470	Processing	Proc 1	-24.82295383	3.064162812	
SCT_0113	OH7870	Processing	Proc 1	-22.30169955	4.825493265	
SCT_0115	OH8243	Processing	Proc 1	-24.60707125	6.738199032	
SCT_0116	OH8245	Processing	Proc 1	-26.42057103	6.788527848	
SCT_0117	OH832	Processing	Proc 1	-23.721931	4.837349089	
SCT_0121	OH8614-1	Processing	Proc 1	-19.2170972	-7.131227504	
SCT_0126	OH981049	Processing	Proc 1	-23.41869015	-0.095599278	
SCT_0127	OH981067	Processing	Proc 1	-22.19469355	-2.899468442	
SCT_0128	OH981136	Processing	Proc 1	-19.15839268	1.309007628	
SCT_0133	Peto95-43	Processing	Proc 1	-23.66118087	-1.91096113	
SCT_0139	Sun1642	Processing	Proc 1	-24.4124282	-2.187083235	
SCT_0140	UC-204B	Processing	Proc 1	-21.71121213	-3.636544474	
SCT_0141	UC-82	Processing	Proc 1	-24.34203461	-0.424000066	
SCT_0142	Unilever265	Processing	Proc 1	-24.32041023	2.468996052	
SCT_0001	2K1-1439	Processing	Proc 2	-15.70018915	15.69084757	
SCT_0003	2K1-2029	Processing	Proc 2	-10.76261912	17.91396517	
SCT_0004	2K1-2054	Processing	Proc 2	-9.748386091	15.03053579	
SCT_0020	E6203	Processing	Proc 2	-7.67118279	17.02476711	
SCT_0021	F02-7530	Processing	Proc 2	-11.59834014	13.05420437	
SCT_0023	F03-7463	Processing	Proc 2	-14.65057565	15.89714116	
SCT_0031	Hunt 100	Processing	Proc 2	3.301316135	12.88574075	
SCT_0036	OH05-8025	Processing	Proc 2	-15.93220462	18.8688683	
SCT_0038	OH05-8028	Processing	Proc 2	-15.17250401	19.98982489	
SCT_0041	OH05-8040	Processing	Proc 2	-19.70466565	20.51447048	
